pref_name,umls_cui_linked,average_depth,trials_count,pubmed_count,search_frequency,select_frequency
"Mccune-albright syndrome",C0000040,7.037,17,1063,1,NULL
"Uterine cervical incompetence",C0005256,7.5909,17,1125,1,NULL
"Nonaka myopathy",C0185290,6.275,17,NULL,3,NULL
"Extrahepatic cholangiocarcinoma",C0321672,NULL,17,NULL,2,NULL
"Limbal stem cell deficiency",C0170016,7.2424,17,NULL,1,NULL
"Christ-siemens-touraine syndrome",C0017371,6.0748,17,53,2,NULL
"Brain stem neoplasm",C0004203,7.8812,17,780,7,NULL
"Orphan disease",C0134977,NULL,17,NULL,1,NULL
"Recurrent major depressive episode",C0011925,6.5882,17,NULL,6,1
"Pyoderma gangrenosum",C0009355,6.2727,17,1067,1,NULL
"Bladder transitional cell carcinoma stage iv",C0129741,7.8333,17,NULL,1,1
"Borrelia infection",C0005072,4.0943,17,826,9,NULL
"Immunoglobulin g4 related sclerosing disease",C0303408,6,17,NULL,1,NULL
"Prolonged labor",C0010423,4.2917,18,NULL,3,NULL
"Mammary ductal carcinoma",C0006652,NULL,18,NULL,8,NULL
Asthenopia,C0004921,3.1429,18,693,1,NULL
"Psoriasis of nail",C0054111,5.9535,18,NULL,2,1
"Absence epilepsy",C0005873,6.9107,18,3079,3,NULL
"Peutz-jeghers syndrome",C0007937,6.7031,18,1438,1,NULL
"Thromboangiitis obliterans",C0008750,7.2138,18,2830,2,NULL
"Thrombotic microangiopathies",C0210601,5.6104,18,154,50,NULL
"Idh1 gene mutation",C0335732,6,18,NULL,1,NULL
"Chronically ill",C0005345,NULL,18,NULL,2,NULL
Hemophilia,C0111000,4.3846,18,NULL,1,NULL
"Machado-joseph disease",C0007027,8.035,19,452,2,NULL
"Adult cholangiocarcinoma",C0039461,10.375,19,NULL,17,NULL
"Age-related memory disorder",C0115645,NULL,19,NULL,1,1
"Cystic fibrosis with pulmonary manifestation",C0000328,5.5789,19,NULL,3,2
"Familial amyloidosis",C0114030,4.3514,19,237,2,1
Beriberi,C0001355,6.4237,19,2903,3,NULL
"Idiopathic pulmonary hypertension",C0010437,4.6667,19,NULL,1,NULL
"Stage ia pancreatic cancer ajcc v6 and v7",C0297624,11.7273,19,NULL,1,1
Osteopetrosis,C0007523,5.9538,19,2226,3,NULL
"Malignant tumor of optic nerve",C0000156,9.0909,19,NULL,1,NULL
"Non-hodgkin's lymphoma transformed recurrent",C0123730,5.4821,19,NULL,3,NULL
Brucellosis,C0005105,4,19,8834,1,NULL
"Interstitial pneumonia",C0017801,9.0164,19,NULL,2,NULL
"Blood in stool",C0000407,4.8,19,NULL,1,NULL
Prognathism,C0008104,5.4148,19,2739,2,NULL
"Atypical teratoid rhabdoid tumor",C0141715,9.1818,19,NULL,2,NULL
"Childhood medulloblastoma",C0038577,11.0794,19,NULL,3,4
"Stage ib pancreatic cancer ajcc v6 and v7",C0297625,11.7273,20,NULL,1,NULL
"Generalized seizure",C0020132,4.6667,20,NULL,1,NULL
"Adult epithelioid sarcoma",C0038867,9.45,20,NULL,1,1
"Stage iv lung cancer ajcc v6",C0297534,10.4545,20,NULL,5,2
"Chronic infectious disease",C0009952,3.6667,20,NULL,1,NULL
"Melas syndrome",C0017425,5.6484,20,858,4,1
"Metastatic malignant melanoma",C0128104,5.7586,20,NULL,1,2
"Malignant mesothelioma of peritoneum",C0047415,10.3495,20,NULL,1,NULL
"Irritable bowel syndrome characterized by constipation",C0192271,11,20,NULL,2,3
"Malignant neoplasm of breast staging",C0202032,4.5,20,NULL,9,NULL
"Atopic eczema/dermatitis (non-specific)",C0086177,2,20,NULL,2,1
"Russell-silver syndrome",C0017468,4.4556,20,31,2,NULL
Sphingolipidoses,C0008557,6.1797,20,329,3,NULL
"Severe combined immunodeficiency due to adenosine deaminase deficiency",C0051043,7,20,NULL,11,1
"Pancreatic pseudocyst",C0007801,5.4262,21,2614,1,NULL
"Multiple endocrine neoplasia type 1",C0007119,5.3387,21,1186,5,1
"Lambert-eaton myasthenic syndrome",C0006811,4.8113,21,558,3,1
"Acute intermittent porphyria",C0017401,4.7083,21,851,4,NULL
Hypogammaglobulinemia,C0009441,4.381,21,NULL,1,NULL
"Cerebrotendinous xanthomatosis",C0021377,6.4713,21,176,1,NULL
"Panic attack",C0009473,4.5714,21,NULL,1,NULL
"Growth hormone treatment",C0114584,NULL,21,NULL,10,NULL
"Early onset alzheimer disease",C0000441,10.0455,22,NULL,3,7
"Mixed oligodendroglioma-astrocytoma",C0039476,7,22,NULL,1,NULL
"Nerve pain",C0115702,NULL,22,NULL,8,NULL
Lymphocele,C0007012,3.8788,22,628,3,NULL
Pyoderma,C0008211,5.4868,22,2365,1,NULL
"Cervix carcinoma stage iv",C0038609,8.5769,22,NULL,2,4
"Female pattern alopecia",C0026312,8.4286,22,NULL,1,1
"Impaired wound healing",C0010186,3.65,22,NULL,9,NULL
"Amyloid neuropathy",C0017838,6.7045,22,479,1,NULL
"Corticobasal degeneration",C0051258,6.8594,22,NULL,4,NULL
"Secondary malignant neoplasm of adnexa of skin",C0003332,11.13,22,NULL,2,NULL
"Recurrent childhood anaplastic astrocytoma",C0335533,11.112,22,NULL,12,NULL
"Friedreich ataxia 1",C0186881,NULL,22,NULL,1,1
"Pathological fracture",C0006093,5.3023,23,5788,1,NULL
"Abscess of skin and/or subcutaneous tissue",C0009607,6.0909,23,NULL,1,NULL
"Osteitis deformans",C0007501,4.76,23,4605,1,NULL
"Spinal muscular atrophy of childhood",C0113478,5.0886,23,746,1,1
"Pseudotumor cerebri",C0008150,5.6,23,2742,5,NULL
"Ectodermal dysplasia",C0005749,4.8559,23,2425,2,NULL
"Burn scar",C0008373,8.9474,23,NULL,3,NULL
Fatigability,C0018472,5.6667,23,NULL,1,NULL
"Acute hiv infection",C0045746,4.3846,23,NULL,1,1
"Shwachman syndrome",C0033411,6.9149,23,NULL,1,NULL
"Pseudomyxoma peritonei",C0008140,10.4042,23,583,3,NULL
Chorea,C0005313,4.6575,23,3358,1,NULL
"Hemoglobin sc disease",C0006338,6.7778,23,527,18,1
"Moyamoya disease",C0007207,5.9209,23,1798,2,1
"Globoid cell leukodystrophy",C0006908,6.4142,23,736,7,NULL
"Cancer relapse",C0004249,3.7241,23,68027,1,1
"Transverse myelitis",C0007260,5.0979,23,845,1,NULL
"Lichen sclerosus et atrophicus",C0006930,6.2963,24,683,3,NULL
"Benign teratoma",C0000079,6.2347,24,3950,1,NULL
"Large cell carcinoma",C0017931,6.9091,24,1277,1,NULL
"Generalized myasthenia gravis",C0115674,NULL,24,NULL,2,NULL
"Henoch-schoenlein purpura",C0008200,5.4244,24,3418,1,NULL
"Mild dementia",C0312604,8.6667,24,NULL,2,1
Myelitis,C0007259,4.9747,25,2182,1,NULL
"Small intestinal bacterial overgrowth",C0301161,NULL,25,NULL,1,NULL
"Mucoepidermoid carcinoma",C0017922,5.8571,25,936,11,NULL
Polyarthritis,C0000936,5.7708,25,NULL,1,NULL
"Hepatolenticular degeneration",C0006383,5.1038,25,4548,5,NULL
"Leber congenital amaurosis",C0042593,6.6786,25,71,2,NULL
"Cancer-related problem/condition",C0039485,2.5,25,NULL,1,NULL
"Progressive multifocal leukoencephalopathy",C0006911,5.2471,25,1949,4,NULL
Pouchitis,C0050755,5.5161,25,422,4,NULL
"Chronic back pain",C0114073,6.75,25,NULL,6,NULL
Alpha-mannosidosis,C0007066,6.3333,25,209,5,NULL
"Angiolymphoid hyperplasia",C0006162,6.1868,25,1532,3,NULL
"Cat allergy",C0042767,8.75,26,NULL,1,NULL
"Gallbladder adenocarcinoma",C0038956,6.2973,26,NULL,1,NULL
"Juvenile neuronal ceroid lipofuscinosis",C0115711,8,26,NULL,3,NULL
"Pulmonary thromboembolism",C0087779,9.3721,26,NULL,1,NULL
"Acute migraine",C0175176,NULL,26,NULL,1,NULL
"Colon cancer liver metastasis",C0114370,NULL,26,NULL,6,4
"Congenital dyserythropoietic anemia",C0004771,5.6279,26,368,2,NULL
"Mitochondrial myopathy",C0017424,4.6923,26,1281,4,4
"Adult nodular sclerosis classical hodgkin lymphoma",C0038863,11.619,26,NULL,1,1
Vesicle,C0040650,5.4,26,NULL,3,NULL
"Cerebral edema",C0005084,5.7,26,NULL,3,NULL
"Vascular endothelial growth factor overexpression",C0305951,4,26,NULL,1,NULL
"Antisocial personality disorder",C0004835,3.9333,26,6800,2,NULL
"Uraemic pruritus",C0139983,4,26,NULL,2,1
"Manic disorder",C0007065,6.6,26,NULL,1,NULL
Hypoalbuminemia,C0001560,4.5122,26,430,1,NULL
"Eye neoplasm",C0003329,6.8881,26,10296,24,2
"Prostate carcinoma metastatic in the bone",C0155303,10.2609,26,NULL,7,4
"Acute abdomen",C0004549,5.3,27,7889,1,1
"Acinar cell carcinoma of pancreas",C0038965,6.9762,27,NULL,1,1
"Anxiety state",C0113479,5.4,27,NULL,1,NULL
"Small fiber neuropathy",C0307665,4.6078,27,25,33,2
"Hirschsprung disease",C0006445,9.6389,27,3083,2,NULL
"Irritable bowel syndrome with diarrhea",C0049375,10.0577,27,NULL,3,3
"Corkscrew esophagus",C0000535,5.7238,27,1431,1,NULL
"Scalp psoriasis",C0054115,8.9583,27,NULL,4,1
"Sudden infant death syndrome",C0008653,4.65,27,6274,1,NULL
"In situ neoplasm of vulva",C0001618,7.6621,27,NULL,4,NULL
"Loss of chromosome 5q",C0160844,5,27,NULL,2,NULL
"Carcinoma of ampulla of vater",C0004238,13.4732,27,NULL,2,NULL
"Rheumatic fever",C0008302,6.5427,27,9874,4,NULL
"Gastrointestinal carcinoid tumor",C0017981,6.1833,27,NULL,1,NULL
"Bile duct adenoma",C0005292,9.1172,27,1711,2,NULL
Drusen,C0139843,10,27,NULL,1,NULL
"Visceral obesity",C0295085,NULL,27,NULL,1,NULL
"Stage iia pancreatic cancer ajcc v6 and v7",C0297626,11.7273,27,NULL,1,1
"Alveolar soft part sarcoma",C0017899,6.0698,27,197,1,NULL
"Stage ivb pancreatic cancer",C0139447,7.3333,27,NULL,2,2
"Biliary tract disease",C0005013,4.0698,28,10887,1,NULL
"Nontuberculous mycobacterium infection",C0007252,4.8378,28,3987,2,NULL
"Hearing problem",C0024828,4.25,28,13360,1,NULL
"Vaginal cancer recurrent",C0038693,6.55,28,NULL,1,NULL
Toxoplasmosis,C0008820,4.2619,28,9103,1,NULL
"Atypical hemolytic uremic syndrome",C0294947,5.4253,28,83,4,3
"Mucopolysaccharidosis vi",C0007220,6.264,28,310,5,NULL
"Acute asthma",C0107982,6.4286,28,NULL,2,NULL
"Adult brain neoplasm",C0017983,8.1667,28,NULL,12,2
"Primary spontaneous pneumothorax",C0191914,9.3,28,NULL,2,NULL
Choroideremia,C0005323,7.4661,28,211,3,NULL
"Lateral sclerosis",C0012124,6.4,28,NULL,9,1
"Neuronal ceroid-lipofuscinoses",C0007395,5.1186,28,1472,6,NULL
"Par planitis",C0007862,10.9098,28,98,2,NULL
"Wolman disease",C0009112,5.6466,28,144,1,NULL
"Mucopolysaccharidosis iv",C0007218,6.1496,28,937,3,NULL
"Cns metastasis",C0003976,9.8631,29,NULL,1,NULL
"Sleep bruxism",C0115978,4.25,29,195,11,NULL
"Appendiceal neoplasm",C0004865,8.37,29,2116,1,NULL
"Egfr np_005219.2:p.t790m",C0306670,5,29,NULL,10,NULL
"Myotonic dystrophy 1",C0303770,9.6667,29,NULL,2,2
"Female breast carcinoma",C0005159,8,29,NULL,8,4
"Antibiotic resistant infection",C0196583,NULL,29,NULL,6,1
"Chronic leukemia (category)",C0144846,6.6119,29,NULL,1,NULL
"Plasma cell leukemia",C0006895,7.1053,30,767,2,5
"Biliary atresia",C0005010,6.3034,30,1886,1,NULL
"Glial tumor of brain",C0000175,8.7414,30,NULL,17,2
"Renal anemia",C0138822,NULL,30,NULL,1,NULL
"Intrahepatic cholestasis",C0005301,4.7368,30,3114,3,NULL
Leprosy,C0006858,4.78,31,17586,1,NULL
"Knee pain chronic",C0114735,NULL,31,NULL,2,NULL
"Leber optic atrophy, hereditary",C0134416,5.8595,31,527,5,1
Ichthyoses,C0006604,3.9674,31,2870,6,NULL
"Persistent fetal circulation syndrome",C0007931,5.6897,31,818,1,NULL
"Cancer patient and suicide and depression",C0117036,3.5,31,NULL,1,2
"Malignant epithelioid mesothelioma",C0129634,5.3333,31,NULL,2,2
"Early infantile epileptic encephalopathy with suppression burst",C0051376,7.4,31,NULL,2,NULL
"Primary hyperoxaluria",C0006529,7.1845,32,517,1,NULL
"Partial paralysis (paresis) vocal cord",C0001241,4.7823,32,4452,3,NULL
"Drug effect disorder",C0113578,2,32,NULL,1,NULL
"Anal squamous cell carcinoma",C0157464,5.625,32,NULL,1,NULL
Coxitis,C0026556,8.4286,33,NULL,1,NULL
"Deficiency of glucose-6-phosphate dehydrogenase",C0295486,4.8713,33,3936,3,NULL
"Bacterial resistance",C0010073,3.9231,33,NULL,1,1
Uremia,C0008968,5.9608,33,16882,2,NULL
"Bone sarcoma",C0172837,6.75,33,NULL,1,NULL
"Adult classical hodgkin lymphoma",C0203867,10.8,33,NULL,1,3
"Castration-resistant prostatic neoplasm",C0318989,5.5333,33,633,1,NULL
"Severe hereditary factor viii deficiency disease",C0033546,7.4,33,NULL,2,1
"Clostridium difficile colitis",C0002033,11.1241,33,5295,5,3
"Limb-girdle muscular dystrophy",C0112779,5.803,33,314,7,NULL
"Inclusion body myositis",C0021452,5.6543,33,589,17,NULL
"Stage 0 bladder carcinoma",C0038735,9.2857,33,NULL,1,NULL
"Premenstrual dysphoric disorder",C0086843,4.5111,33,31,1,NULL
"Infective vaginitis",C0053153,9.2976,33,NULL,1,NULL
"Familial mediterranean fever",C0007913,4.2549,34,2432,1,NULL
"Central nervous system lymphoma",C0114363,6.0541,34,NULL,4,NULL
Encephalomyelitis,C0005813,6.2231,34,3697,2,NULL
"Her-2 positive breast cancer",C0172751,4,34,NULL,3,NULL
"Mucopolysaccharidosis iii",C0007217,5.7551,35,452,15,2
"Adult liposarcoma",C0038626,8.2857,35,NULL,1,1
"Left-sided heart failure",C0006838,7.3429,35,NULL,2,NULL
"Wiskott-aldrich syndrome",C0009108,5.1552,35,1163,5,2
"Lactose intolerance",C0006809,5.3761,35,2533,4,1
"Familial idiopathic cardiomyopathy",C0158126,12.1552,35,NULL,2,NULL
"Dupuytren's disease",C0352849,7.5263,35,NULL,2,NULL
"Pleural mesothelioma",C0156346,4.5833,35,NULL,4,1
"Sickle cell trait",C0008479,6.1569,35,1762,53,5
"Cervical arthritis",C0001818,9.309,35,NULL,1,NULL
"Cumulative trauma disorder",C0008258,4.0882,35,2788,1,NULL
"Widespread chronic pain",C0303185,4,35,NULL,2,1
Hyperoxaluria,C0006528,6.1754,35,628,3,NULL
"Epidermolysis bullosa dystrophica",C0009159,5.7477,35,611,1,NULL
"Systemic mastocytosis",C0018064,5.4615,35,300,4,NULL
"Eosinophilic granulomatosis with polyangiitis",C0005346,7.4762,36,1265,13,2
"Progressive multiple sclerosis",C0137167,4,36,NULL,3,1
"Degenerative disorder",C0145335,4,36,NULL,1,NULL
"Malignant peripheral nerve sheath tumor",C0115917,6.766,36,NULL,1,NULL
"Adult ependymoma",C0038776,9.75,36,NULL,1,NULL
"Chronic rejection of renal transplant",C0052881,6.8806,36,NULL,2,NULL
"Stage iv lung cancer ajcc v7",C0123855,6.2903,36,NULL,53,1
"Gaucher disease, type 1",C0194572,3.9048,36,NULL,1,NULL
"Multiple endocrine neoplasia",C0007348,3.9556,36,1964,6,1
Lymphangioleiomyomatosis,C0115908,5.0957,36,622,4,NULL
"Infantile severe myoclonic epilepsy",C0115542,8.5614,36,NULL,18,NULL
"Streptococcal pneumonia",C0013002,9.3755,36,3614,3,NULL
"Anterior polar cataract",C0185832,5.3333,37,NULL,1,1
"Diabetic ketoacidosis",C0005613,4.7647,37,4718,1,NULL
"Von hippel-lindau syndrome",C0006444,5.2245,37,1838,2,NULL
"Aid dementia complex",C0004691,5.914,37,2874,1,NULL
"Adult leiomyosarcoma",C0038625,9.4167,37,NULL,1,1
"Angelman syndrome",C0017415,4.4767,37,736,6,2
Trichotillomania,C0008861,4.0233,37,620,3,NULL
"Acute bronchitis",C0009504,8.3474,37,NULL,1,NULL
Hemangiosarcoma,C0006315,6.7,37,5249,4,NULL
Hypopituitarism,C0006584,5.25,38,5535,2,NULL
"Familial amyloid neuropathy",C0017837,5.2361,38,376,2,1
"Disseminated hyalohyphomycosis",C0000545,4.6418,38,2097,2,NULL
"Ehlers-danlos syndrome",C0005770,5.4398,38,2242,11,1
Myelofibrosis,C0007262,4.25,38,NULL,4,2
"Childhood brain stem glioma",C0038624,11.1471,38,NULL,2,NULL
"Malignant melanoma of eye",C0090799,7.6667,38,NULL,4,2
"Malignant neoplasm of endocrine pancreas",C0003306,10.4588,39,273,9,NULL
"Pulmonary sarcoidosis",C0008356,6.1818,39,2071,33,NULL
"Digeorge syndrome",C0005629,5.7832,39,1240,5,NULL
"Aural vertigo",C0003032,5.3913,39,5896,2,1
"Relapse multiple myeloma",C0203969,8.2857,39,NULL,6,10
"Marfan syndrome",C0007072,4.1513,39,4380,3,NULL
"Klatskin tumor",C0017929,10.8973,40,244,16,NULL
"Neurofibromatosis 2",C0007387,6.2296,40,884,1,NULL
"Breast adenocarcinoma",C0126314,8,40,NULL,1,NULL
"Gastroparesis due to diabetes mellitus",C0029345,5.7288,40,NULL,4,NULL
"Yellow fever",C0009129,4.3544,40,2251,1,NULL
"Female sexual dysfunction",C0137972,4.1429,40,NULL,1,NULL
"Autoimmune hemolytic anemia",C0004774,6.0805,40,4584,4,NULL
Endophthalmitis,C0005835,5.7833,40,4758,1,NULL
"Familial hypophosphatemia",C0000094,6.4407,40,1534,4,NULL
"Stage iva colorectal cancer ajcc v7",C0297574,11.7273,40,NULL,1,NULL
"Multiple hamartoma syndrome",C0006264,5.2407,41,601,1,NULL
Endometritis,C0000201,9.0732,41,3110,1,NULL
"Autoimmune hepatitis",C0024253,6.0337,41,1698,3,NULL
"Lennox-gastaut syndrome",C0021409,6.127,41,39,3,NULL
"Infection of ear",C0113334,4.8421,41,NULL,1,NULL
Nightmare,C0007409,4.3333,41,NULL,1,NULL
Mastodynia,C0007085,4.8966,41,38,5,NULL
"Recurrent urinary tract infection",C0025833,7.3714,41,NULL,14,3
"Adult t acute lymphoblastic leukemia",C0038903,10.7447,41,NULL,1,NULL
"Venoocclusive disease",C0136639,5.0526,41,NULL,1,NULL
"Asthmatic pulmonary eosinophilia",C0000122,7.0351,41,2323,1,NULL
"Philadelphia chromosome positive chronic myelogenous leukemia",C0038865,9.8974,41,NULL,3,1
Pemphigus,C0007882,5.2222,41,6351,5,NULL
"Stage iv colorectal cancer",C0110463,6.3871,41,NULL,2,1
"Mucopolysaccharidosis type iiia",C0009461,8.3,42,NULL,23,2
"Primary progressive multiple sclerosis",C0116145,5.0714,42,NULL,10,7
"Congenital exomphalos",C0001595,7.0036,42,2878,2,NULL
"Adult myxopapillary ependymoma",C0333969,9.4118,42,NULL,5,NULL
"Subjective tinnitus",C0012761,6.1429,42,NULL,16,2
"Autoimmune diabetes",C0017761,NULL,42,NULL,1,NULL
"Congenital clubfoot",C0005367,7.2074,42,2904,1,2
"Lucey-driscoll syndrome",C0000536,4.7079,43,5140,1,NULL
"Brain stem glioma",C0110451,8.9801,43,NULL,2,NULL
Blepharitis,C0005040,5.1579,44,929,1,NULL
"Pilonidal cyst",C0007965,5.493,44,1355,1,NULL
"Obesity hypoventilation syndrome",C0007959,5.1134,44,563,1,NULL
"Thymic carcinoma",C0017795,5.4651,44,NULL,5,4
"Acute myeloid leukemia in remission",C0011576,9.2303,44,NULL,3,NULL
"Autoimmune polyendocrinopathies",C0009288,3.7179,45,686,1,NULL
"Malignant neoplasm of penis",C0003338,10.197,45,3889,9,NULL
Anhedonia,C0017568,4.4151,45,163,2,NULL
"Hemolytic-uremic syndrome",C0006345,8.1667,45,3819,4,NULL
"Heart block",C0006288,5.7969,46,19008,1,NULL
"Leiomyosarcoma of uterus",C0039458,11,46,NULL,10,NULL
Halitosis,C0006256,4.4857,46,866,5,1
"Chronic inflammation",C0006657,5,46,NULL,1,NULL
"West syndrome",C0008542,6.7671,46,2405,2,NULL
"Aphthous stomatitis",C0000520,6.3333,47,3775,3,NULL
"Osteogenesis imperfecta",C0007513,5.5926,47,3465,2,NULL
"Niemann-pick disease",C0007407,6.4972,47,1508,11,1
"Transthyretin-related amyloidosis, hereditary",C0213432,NULL,48,NULL,3,2
Gastrinoma,C0006135,7.8956,48,769,1,NULL
"Adult medulloblastoma",C0038778,11.4423,48,NULL,1,NULL
"Hashimoto disease",C0110382,6.7381,48,919,3,4
Chordoma,C0005312,5.098,48,2370,11,1
"Methicillin resistant staphylococcus aureus infection (mrsa)",C0045455,6.4,49,NULL,1,NULL
"Thrombotic thrombocytopenic purpura",C0008201,6.6282,49,3206,3,NULL
Hemochromatosis,C0002765,4.7794,49,6647,8,1
"Herpes labialis",C0006426,8.1257,49,998,2,NULL
"Pituitary-dependent Cushing's disease",C0018234,7.7531,50,481,5,NULL
"Degeneration of lumbar intervertebral disc",C0026637,9.3846,50,NULL,1,NULL
"Frozen shoulder",C0000267,7.7368,50,NULL,1,1
"Mechanical low back pain",C0063933,7.6667,50,NULL,1,NULL
"Myotonic dystrophy",C0007291,5.1508,50,3868,1,2
"Inborn urea cycle disorder",C0011826,5.0263,50,32,3,NULL
Myocarditis,C0007278,7.5248,50,10768,2,NULL
"Stage ivb colon cancer ajcc v7",C0335440,12.7818,51,NULL,1,NULL
"Kartagener syndrome",C0006757,6.9176,51,918,3,1
"Metastatic malignant neoplasm in the adult brain",C0154863,10.6875,51,NULL,1,NULL
"Mucopolysaccharidosis ii",C0007216,5.9304,51,640,11,2
"Cervical radiculopathy",C0114339,6,51,NULL,1,NULL
"Metachromatic leukodystrophy",C0006909,6.9021,51,1002,11,NULL
Gigantism,C0006164,5.2958,51,1165,2,NULL
"Angle closure glaucoma",C0006176,6.7755,51,1889,2,NULL
Paraganglioma,C0007820,6.5111,52,2922,34,NULL
"Growth failure",C0134343,3.9688,52,NULL,4,NULL
"Chocolate cyst of ovary",C0002233,10.2716,52,NULL,1,NULL
"Cancer of lip",C0000763,10.7772,52,3417,19,14
"Diamond-blackfan anemia",C0139819,5.8919,52,192,5,NULL
"Zika virus infection",C0036932,4.3611,52,990,1,NULL
"Breast cancer lymphedema",C0362752,4.3043,52,32,2,1
"Well differentiated pancreatic endocrine tumor",C0156165,8.4667,52,NULL,1,1
"Hemophagocytic lymphohistiocytosis",C0007016,5.6333,52,618,5,NULL
"Benign retention cyst",C0001596,7.3646,52,5470,1,NULL
"Klinefelter syndrome",C0002906,5.4225,53,3148,11,NULL
"Healed  wound",C0141251,9,53,NULL,1,NULL
"Mast-cell leukemia",C0006882,7.3033,53,128,6,NULL
"Ewings sarcoma-primitive neuroectodermal tumor (pnet)",C0111012,7.2222,53,1453,1,NULL
Spondylarthropathies,C0137106,5.1875,54,586,1,NULL
"Type i choledochal cyst",C0005405,NULL,54,NULL,1,NULL
"Neuromyelitis optica",C0007394,6.0431,54,756,9,NULL
"Opioid abuse",C0007466,4.75,54,NULL,1,NULL
"Langerhans-cell histiocytosis",C0006452,6.2149,54,4179,4,NULL
"Adrenogenital syndrome",C0039825,4.4943,54,684,1,NULL
Hypocalcemia,C0006569,4.3542,54,5686,1,NULL
"Typhoid fever",C0008920,8.7547,54,9663,1,NULL
"Synovial cyst",C0009352,4.4074,55,1759,2,NULL
"Dupuytren contracture",C0005702,7.865,55,1965,4,NULL
"Islet cell tumor",C0024423,8.4873,55,NULL,7,NULL
"Pelvic cancer",C0003621,4.8182,55,5612,1,NULL
"Visceral leishmaniasis",C0006854,4.9706,55,6243,1,NULL
"Trigeminal neuralgia",C0008866,6.2308,56,5047,1,NULL
"Hematopoietic neoplasm",C0050749,5.3667,56,NULL,1,NULL
"Locally advanced malignant neoplasm",C0110473,8.6667,56,NULL,1,NULL
"Guillain-barre syndrome",C0006245,5.8497,56,2422,4,4
"Chronic inflammatory demyelinating polyradiculoneuropathy",C0051465,6.5034,56,614,18,1
"Friedreich ataxia",C0006101,6.1457,57,1874,32,3
Hypospadias,C0121054,6.12,57,3550,2,NULL
Hypersomnia,C0134418,4.4643,57,NULL,2,NULL
"Charcot-marie-tooth disease",C0001883,4.6633,58,3042,9,NULL
Nevus,C0007401,4.25,58,4763,1,NULL
"Lyme disease",C0006999,4.7021,58,7146,64,2
"Facioscapulohumeral muscular dystrophy",C0021509,6.4224,58,333,5,1
"Malignant squamous cell neoplasm",C0115915,NULL,58,NULL,2,NULL
"Brain edema",C0161257,4.0732,58,10777,3,1
"Arthritis of knee",C0022865,7.3,58,NULL,2,4
"Congenital adrenal hyperplasia",C0004671,6.1802,58,5123,2,NULL
Mastocytosis,C0007082,4.5422,59,1085,1,NULL
"Brain death",C0005081,4.8636,59,6215,11,NULL
Adrenoleukodystrophy,C0017369,5.8266,59,1289,7,4
"Vaso-occlusive crisis",C0115268,8.5,60,NULL,3,2
"Mucinous adenocarcinoma",C0005165,7.4524,60,6184,10,NULL
"Common migraine",C0041784,6.5972,60,361,4,NULL
Histiocytosis,C0006451,3.8548,60,554,2,NULL
"Antiphospholipid syndrome",C0009261,3.8889,60,5128,4,NULL
"Pancreatic carcinoma stage i",C0139157,4.1818,60,NULL,6,1
"Serous cystadenocarcinoma ovary",C0038967,9.8068,60,NULL,2,1
"Facial pain",C0005970,5.413,61,4016,1,NULL
"Brca1 gene mutation",C0158807,4.0909,61,NULL,1,NULL
Hypoparathyroidism,C0006582,4.3485,61,3569,6,NULL
Hemangioendothelioma,C0006310,7.04,61,2297,17,NULL
"Recurrent cancer of gallbladder",C0133871,9.4211,61,NULL,1,NULL
"Memory loss",C0115648,4,61,NULL,2,NULL
"Childhood brain neoplasm",C0017974,6.7778,61,NULL,2,NULL
"Duodenal ulcer",C0005699,9.1459,61,24026,1,NULL
"Brain infarction",C0116141,5.7368,61,2035,1,NULL
"Axial spondyloarthritis",C0303346,6.7021,61,NULL,1,NULL
"Hemolytic anemia",C0004772,4.8511,61,10943,2,NULL
"Lymphatic disease",C0007009,3.597,62,13062,3,NULL
Melanosis,C0007108,5,62,2436,6,NULL
"Non-hodgkin's lymphoma refractory",C0123729,6.4167,62,NULL,1,NULL
Prostatitis,C0008110,6.9898,62,4011,15,NULL
"Cutis laxa",C0000464,4.4792,62,550,1,NULL
"Spinocerebellar ataxia",C0009486,6.4049,62,1046,4,NULL
Spondylosis,C0008580,6.2453,62,520,1,NULL
Carcinosarcoma,C0005169,5.5143,62,2181,1,NULL
"Postural orthostatic tachycardia syndrome",C0149592,4.7297,62,69,1,4
"Microsatellite instability",C0134928,4.2683,63,809,2,NULL
"Cytomegalovirus retinitis",C0017826,7.3333,63,1249,2,NULL
"Failure to thrive",C0005980,3.7451,63,1448,1,NULL
"Adenoid cystic carcinoma",C0005505,7.2857,63,4539,7,1
"Genital herpes",C0006424,4.7891,63,3518,3,NULL
"Urethral carcinoma",C0113383,4.8621,64,NULL,2,NULL
"Early-stage breast carcinoma",C0299415,8,64,NULL,1,2
Smallpox,C0008524,5.8889,64,5358,3,NULL
Hyperthyroidism,C0006550,4.2586,65,23553,4,NULL
Candidemia,C0133939,5.6721,65,113,1,NULL
"Smoldering myeloma",C0161340,5.7273,65,NULL,1,1
"Recurrent brain neoplasm",C0115448,8.25,65,NULL,5,NULL
Pyelonephritis,C0008204,6.6929,65,12708,1,NULL
"Diffuse intrinsic pontine glioma",C0299410,11.9111,65,NULL,19,1
"Brca2 gene mutation",C0158809,4.0909,66,NULL,4,NULL
"Central serous chorioretinopathy",C0113858,7.7447,66,130,1,NULL
